Age,Gender,Marital Status,Occupation,Monthly Income,Educational Qualifications,Family size,Pin code,Medium (P1),Medium (P2),Meal(P1),Meal(P2),Perference(P1),Perference(P2),Ease and convenient,Time saving,More restaurant choices,Easy Payment option,More Offers and Discount,Good Food quality,Good Tracking system,Health Concern,Late Delivery,Poor Hygiene,Bad past experience,Unavailability,Unaffordable,Long delivery time,Delay of delivery person getting assigned,Delay of delivery person picking up food,Wrong order delivered,Missing item,Order placed by mistake,Influence of time,Order Time,Maximum wait time,Residence in busy location,Google Maps Accuracy,Good Road Condition,Influence of rating,Less Delivery time,High Quality of package,Freshness ,Temperature,Good Taste ,Good Quantity,Output,Reviews,Tokenized_Reviews,Polarity,Subjectivity,Sentiment
27,Female,Prefer not to say,Employee,25001 to 50000,Post Graduate,5,560022,Food delivery apps, Web browser,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Bakery items (snacks),0,0,1,3,4,1,3,Agree,Agree,Strongly agree,Disagree,Agree,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Neutral,No,Weekdays (Mon-Fri),45 minutes,Agree,Strongly Agree,Agree,1,Slightly Important,Very Important,Slightly Important,Very Important,Important,Important,0,nil,['nil'],0.0,0.0,Neutral
26,Male,Single,Self Employeed,10001 to 25000,Ph.D,1,560066,Food delivery apps, Web browser,Lunch, Snacks,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),0,0,1,0,2,1,2,Neutral,Agree,Agree,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Neutral,Disagree,Strongly disagree,Yes,Weekend (Sat & Sun),More than 60 minutes,Agree,Agree,Neutral,2,Moderately Important,Important,Important,Very Important,Important,Slightly Important,0,I expect the food that is being delivered to be hot and fresh,"['expect', 'food', 'delivered', 'hot', 'fresh']",0.275,0.675,Positive
22,Male,Single,Student,No Income,Post Graduate,2,560009,Food delivery apps, Walk-in,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),0,0,3,3,2,3,0,Strongly agree,Strongly agree,Agree,Neutral,Agree,Strongly agree,Agree,Neutral,Agree,Strongly agree,Neutral,Agree,Yes,Weekdays (Mon-Fri),15 minutes,Agree,Strongly Agree,Agree,2,Very Important,Important,Moderately Important,Important,Important,Moderately Important,1,I love swiggy and their app user interface,"['love', 'swiggy', 'app', 'user', 'interface']",0.5,0.6,Positive
24,Female,Single,Student,No Income,Post Graduate,3,560009,Food delivery apps, Walk-in,Breakfast, Lunch,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),3,3,3,3,3,3,3,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Anytime (Mon-Sun),30 minutes,Strongly Agree,Strongly Agree,Neutral,2,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,1,Nil,['nil'],0.0,0.0,Neutral
23,Male,Single,Student,No Income,Post Graduate,1,560027,Walk-in, Direct call,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),2,2,0,1,1,2,1,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Disagree,Strongly agree,Agree,Neutral,Neutral,Neutral,Disagree,Yes,Weekend (Sat & Sun),30 minutes,Agree,Disagree,Agree,2,Important,Important,Important,Moderately Important,Important,Important,1,No Comments!,['comments'],0.0,0.0,Neutral
25,Male,Single,Student,No Income,Graduate,1,560009,Food delivery apps, Walk-in,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),0,2,3,0,3,2,0,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Neutral,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,Yes,Anytime (Mon-Sun),45 minutes,Neutral,Agree,Strongly disagree,2,Important,Important,Very Important,Very Important,Very Important,Very Important,1,NIL,['nil'],0.0,0.0,Neutral
23,Female,Single,Student,No Income,Graduate,5,560043,Food delivery apps, Direct call,Lunch, Snacks,Veg foods (Breakfast / Lunch / Dinner), Ice cream / Cool drinks,3,0,0,2,0,2,2,Neutral,Agree,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Weekdays (Mon-Fri),45 minutes,Neutral,Neutral,Neutral,2,Slightly Important,Moderately Important,Important,Important,Important,Important,1,Nil,['nil'],0.0,0.0,Neutral
23,Female,Single,Student,No Income,Graduate,5,560043,Food delivery apps, Direct call,Lunch, Snacks,Veg foods (Breakfast / Lunch / Dinner), Ice cream / Cool drinks,3,0,0,2,0,2,2,Neutral,Agree,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Weekdays (Mon-Fri),45 minutes,Neutral,Neutral,Neutral,2,Slightly Important,Moderately Important,Important,Important,Important,Important,1,Nil,['nil'],0.0,0.0,Neutral
26,Male,Married,Employee,25001 to 50000,Graduate,5,560007,Food delivery apps, Direct call,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),0,3,3,3,2,0,3,Neutral,Neutral,Neutral,Disagree,Disagree,Agree,Agree,Agree,Neutral,Agree,Neutral,Disagree,No,Weekend (Sat & Sun),60 minutes,Agree,Agree,Neutral,1,Important,Important,Slightly Important,Slightly Important,Slightly Important,Important,0,I expect quality food rather than delivery time and ratings,"['expect', 'quality', 'food', 'rather', 'delivery', 'time', 'ratings']",0.0,0.0,Neutral
32,Female,Married,House wife,No Income,Uneducated,3,560012,Food delivery apps, Direct call,Dinner, Dinner,Veg foods (Breakfast / Lunch / Dinner), Sweets,4,1,1,1,1,4,1,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Maybe,Anytime (Mon-Sun),30 minutes,Agree,Neutral,Agree,2,Important,Important,Important,Very Important,Important,Slightly Important,0,Expect the delivery person to understand our hunger,"['expect', 'delivery', 'person', 'understand', 'hunger']",0.0,0.0,Neutral
24,Female,Single,Student,10001 to 25000,Post Graduate,3,560028,Food delivery apps, Direct call,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Sweets,0,2,3,3,3,0,0,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Strongly disagree,Yes,Anytime (Mon-Sun),45 minutes,Strongly Agree,Strongly Agree,Strongly Agree,2,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,0,Nil,['nil'],0.0,0.0,Neutral
23,Male,Single,Student,No Income,Post Graduate,2,560030,Food delivery apps, Walk-in,Breakfast, Dinner,Veg foods (Breakfast / Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),3,3,0,3,0,2,0,Agree,Agree,Agree,Neutral,Agree,Disagree,Strongly agree,Agree,Neutral,Agree,Neutral,Strongly disagree,Yes,Weekend (Sat & Sun),45 minutes,Neutral,Strongly Agree,Strongly Agree,2,Very Important,Very Important,Important,Very Important,Very Important,Very Important,1,Nil,['nil'],0.0,0.0,Neutral
22,Female,Single,Employee,10001 to 25000,Graduate,3,560066,Food delivery apps, Direct call,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),3,0,3,2,3,0,2,Strongly agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Strongly disagree,Yes,Weekend (Sat & Sun),45 minutes,Strongly Agree,Agree,Neutral,2,Very Important,Important,Very Important,Very Important,Important,Important,1,NIL,['nil'],0.0,0.0,Neutral
24,Female,Single,Student,No Income,Ph.D,3,560004,Food delivery apps, Direct call,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),0,3,3,0,2,0,0,Agree,Strongly agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Strongly agree,Agree,Neutral,Agree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Neutral,Agree,2,Important,Very Important,Important,Moderately Important,Important,Important,1,Need more delivery bandwidth even in rural areas,"['need', 'delivery', 'bandwidth', 'even', 'rural', 'areas']",0.25,0.25,Positive
26,Male,Single,Employee,25001 to 50000,Graduate,2,560034,Food delivery apps, Walk-in,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Ice cream / Cool drinks,0,2,0,1,0,0,2,Neutral,Agree,Neutral,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Agree,Neutral,Yes,Anytime (Mon-Sun),15 minutes,Agree,Agree,Strongly Agree,1,Important,Important,Important,Slightly Important,Important,Moderately Important,1,Requires professional packaging with no leakage,"['requires', 'professional', 'packaging', 'leakage']",0.1,0.1,Positive
28,Male,Married,Employee,More than 50000,Graduate,3,560066,Food delivery apps, Web browser,Lunch, Dinner,Veg foods (Breakfast / Lunch / Dinner), Sweets,2,0,0,0,2,0,3,Agree,Agree,Neutral,Agree,Disagree,Agree,Agree,Neutral,Strongly agree,Agree,Neutral,Agree,Yes,Anytime (Mon-Sun),45 minutes,Agree,Neutral,Strongly Agree,2,Very Important,Very Important,Important,Important,Important,Important,0,NIL,['nil'],0.0,0.0,Neutral
26,Male,Single,Employee,More than 50000,Post Graduate,2,560066,Food delivery apps, Walk-in,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),0,3,3,0,1,0,3,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Neutral,Yes,Weekend (Sat & Sun),45 minutes,Strongly disagree,Agree,Strongly Agree,2,Important,Moderately Important,Important,Moderately Important,Very Important,Important,0,Need more delivery people to cover all orders,"['need', 'delivery', 'people', 'cover', 'orders']",0.5,0.5,Positive
25,Male,Single,Student,No Income,Post Graduate,1,560029,Food delivery apps, Direct call,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),3,3,3,3,3,2,0,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Yes,Weekend (Sat & Sun),30 minutes,Strongly Agree,Neutral,Agree,2,Important,Moderately Important,Important,Important,Important,Important,1,Nil,['nil'],0.0,0.0,Neutral
25,Male,Single,Employee,Below Rs.10000,Graduate,2,560066,Food delivery apps, Web browser,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),0,0,2,0,0,2,0,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Yes,Anytime (Mon-Sun),30 minutes,Disagree,Neutral,Agree,1,Important,Very Important,Slightly Important,Slightly Important,Important,Important,0,NIL,['nil'],0.0,0.0,Neutral
18,Male,Single,Student,No Income,Graduate,5,560002,Food delivery apps, Web browser,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Ice cream / Cool drinks,0,3,0,2,0,3,3,Neutral,Agree,Disagree,Disagree,Disagree,Neutral,Strongly agree,Neutral,Agree,Strongly disagree,Disagree,Disagree,Yes,Anytime (Mon-Sun),45 minutes,Agree,Agree,Neutral,2,Important,Moderately Important,Very Important,Important,Moderately Important,Important,1,NIL,['nil'],0.0,0.0,Neutral
21,Male,Single,Student,No Income,Post Graduate,4,560009,Food delivery apps, Walk-in,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),4,1,1,1,1,1,1,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Disagree,Neutral,Strongly disagree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Agree,Agree,2,Moderately Important,Important,Important,Moderately Important,Very Important,Very Important,1,nil ,['nil'],0.0,0.0,Neutral
25,Male,Single,Student,No Income,Post Graduate,1,560029,Food delivery apps, Direct call,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),3,3,3,3,3,2,0,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Yes,Weekend (Sat & Sun),30 minutes,Strongly Agree,Neutral,Agree,2,Important,Moderately Important,Important,Important,Important,Important,1,Nil,['nil'],0.0,0.0,Neutral
25,Male,Single,Student,Below Rs.10000,Post Graduate,2,560021,Walk-in, Direct call,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),3,1,0,3,2,2,0,Agree,Agree,Disagree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Yes,Weekend (Sat & Sun),45 minutes,Strongly disagree,Strongly disagree,Strongly Agree,2,Important,Important,Very Important,Very Important,Very Important,Very Important,1,No,[],0.0,0.0,Neutral
23,Female,Single,Student,No Income,Graduate,5,560043,Food delivery apps, Direct call,Lunch, Snacks,Veg foods (Breakfast / Lunch / Dinner), Ice cream / Cool drinks,3,0,0,2,0,2,2,Neutral,Agree,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Weekdays (Mon-Fri),45 minutes,Neutral,Neutral,Neutral,2,Slightly Important,Moderately Important,Important,Important,Important,Important,1,Nil,['nil'],0.0,0.0,Neutral
23,Male,Single,Employee,10001 to 25000,Post Graduate,2,560010,Food delivery apps, Direct call,Lunch, Dinner,Veg foods (Breakfast / Lunch / Dinner), Sweets,0,0,2,0,0,2,1,Neutral,Disagree,Neutral,Disagree,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Agree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Neutral,Agree,2,Very Important,Very Important,Moderately Important,Important,Very Important,Slightly Important,1,Want different cuisine dishes options in my location,"['want', 'different', 'cuisine', 'dishes', 'options', 'location']",0.0,0.6,Neutral
25,Female,Married,Employee,25001 to 50000,Graduate,4,560017,Food delivery apps, Direct call,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Ice cream / Cool drinks,1,4,4,4,1,2,4,Agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Maybe,Anytime (Mon-Sun),15 minutes,Agree,Strongly Agree,Agree,2,Very Important,Very Important,Important,Important,Moderately Important,Important,0,I had bad experience with delivery person. They need to be polite,"['bad', 'experience', 'delivery', 'person', 'need', 'polite']",-0.6999999999999998,0.6666666666666666,Negative
31,Female,Married,House wife,No Income,School,5,560022,Food delivery apps, Web browser,Breakfast, Snacks,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),0,2,0,3,0,3,0,Agree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Neutral,Agree,Neutral,Agree,Yes,Anytime (Mon-Sun),45 minutes,Agree,Neutral,Agree,2,Important,Very Important,Slightly Important,Moderately Important,Important,Very Important,1,I'm happy with the service of online delivery startups,"['im', 'happy', 'service', 'online', 'delivery', 'startups']",0.8,1.0,Positive
24,Male,Prefer not to say,Self Employeed,More than 50000,Ph.D,2,560006,Food delivery apps, Direct call,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),1,1,1,4,1,4,1,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Yes,Anytime (Mon-Sun),15 minutes,Disagree,Strongly disagree,Strongly disagree,2,Very Important,Very Important,Important,Moderately Important,Moderately Important,Slightly Important,0,I need the order to be delivered fast to my location,"['need', 'order', 'delivered', 'fast', 'location']",0.2,0.6,Positive
32,Female,Married,Employee,25001 to 50000,Graduate,5,560034,Food delivery apps, Web browser,Breakfast, Lunch,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),3,0,3,3,0,0,3,Disagree,Neutral,Neutral,Disagree,Disagree,Strongly disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Yes,Anytime (Mon-Sun),60 minutes,Agree,Agree,Agree,2,Important,Moderately Important,Moderately Important,Moderately Important,Very Important,Very Important,1,I'm satisfied with the service of swiggy,"['im', 'satisfied', 'service', 'swiggy']",0.5,1.0,Positive
25,Male,Single,Employee,25001 to 50000,Graduate,3,560001,Food delivery apps, Direct call,Breakfast, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),0,3,0,3,2,0,3,Disagree,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Strongly disagree,Yes,Anytime (Mon-Sun),45 minutes,Agree,Strongly Agree,Strongly Agree,2,Very Important,Very Important,Slightly Important,Moderately Important,Important,Very Important,1,"I'm satisfied with zomato, I'm also a premium member","['im', 'satisfied', 'zomato', 'im', 'also', 'premium', 'member']",0.5,1.0,Positive
27,Female,Married,Self Employeed,More than 50000,Graduate,5,560001,Food delivery apps, Walk-in,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),1,1,0,0,1,0,2,Strongly agree,Agree,Strongly agree,Neutral,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Strongly Agree,Strongly Agree,2,Very Important,Important,Important,Important,Important,Important,0,"Freshness is important but when it is packed by the usual package, I feel it's losing it is freshness and quality","['freshness', 'important', 'packed', 'usual', 'package', 'feel', 'losing', 'freshness', 'quality']",0.07500000000000001,0.625,Positive
26,Male,Single,Self Employeed,25001 to 50000,Graduate,3,560001,Food delivery apps, Web browser,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),0,0,0,3,3,3,3,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,No,Weekdays (Mon-Fri),More than 60 minutes,Agree,Agree,Strongly Agree,1,Important,Important,Important,Important,Important,Important,1,I have no problem with the delivery service. I'm satisfied,"['problem', 'delivery', 'service', 'im', 'satisfied']",0.5,1.0,Positive
26,Female,Single,Self Employeed,25001 to 50000,Post Graduate,3,560002,Food delivery apps, Web browser,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),0,3,0,0,0,3,3,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Neutral,Disagree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Agree,Neutral,2,Very Important,Very Important,Important,Important,Important,Important,1,I love ordering from online as they have more varieties and discounts,"['love', 'ordering', 'online', 'varieties', 'discounts']",0.5,0.55,Positive
32,Male,Married,Employee,More than 50000,Ph.D,5,560002,Food delivery apps, Web browser,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),0,0,3,0,3,0,2,Strongly agree,Agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Yes,Anytime (Mon-Sun),45 minutes,Agree,Strongly Agree,Agree,2,Very Important,Important,Important,Moderately Important,Very Important,Very Important,1,Online delivery requires much hygiene consciousness now than ever before   ,"['online', 'delivery', 'requires', 'much', 'hygiene', 'consciousness', 'ever']",0.2,0.2,Positive
24,Male,Married,Self Employeed,More than 50000,Ph.D,6,560002,Food delivery apps, Direct call,Dinner, Dinner,Veg foods (Breakfast / Lunch / Dinner), Sweets,1,1,1,1,4,1,4,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Yes,Anytime (Mon-Sun),30 minutes,Disagree,Agree,Strongly Agree,2,Important,Very Important,Very Important,Very Important,Very Important,Very Important,0,"I had bad experiences with delivery person, they need to be polite when asking for location and avoid asking us to come to a particular location to get the food","['bad', 'experiences', 'delivery', 'person', 'need', 'polite', 'asking', 'location', 'avoid', 'asking', 'us', 'come', 'particular', 'location', 'get', 'food']",-0.2666666666666666,0.5,Negative
27,Female,Married,Self Employeed,25001 to 50000,Graduate,3,560002,Food delivery apps, Web browser,Breakfast, Lunch,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),0,3,3,3,0,3,3,Disagree,Agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Agree,Neutral,Strongly disagree,Strongly disagree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Strongly Agree,Agree,2,Important,Very Important,Slightly Important,Moderately Important,Important,Very Important,1,I'm satisfied with the delivery service,"['im', 'satisfied', 'delivery', 'service']",0.5,1.0,Positive
23,Male,Single,Student,No Income,Post Graduate,3,560009,Food delivery apps, Direct call,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),0,0,0,0,2,2,0,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Strongly agree,Neutral,Yes,Weekend (Sat & Sun),30 minutes,Disagree,Agree,Agree,1,Important,Important,Very Important,Important,Important,Important,1,NIL,['nil'],0.0,0.0,Neutral
25,Male,Single,Student,No Income,Post Graduate,4,560009,Food delivery apps, Direct call,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Ice cream / Cool drinks,3,3,3,3,3,3,3,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Yes,Anytime (Mon-Sun),30 minutes,Strongly Agree,Agree,Agree,2,Very Important,Very Important,Very Important,Important,Very Important,Very Important,1,,[],0.0,0.0,Neutral
23,Male,Single,Student,No Income,Post Graduate,3,560009,Food delivery apps, Direct call,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),0,0,0,0,2,2,0,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Strongly agree,Neutral,Yes,Weekend (Sat & Sun),30 minutes,Disagree,Agree,Agree,1,Important,Important,Very Important,Important,Important,Important,1,NIL,['nil'],0.0,0.0,Neutral
23,Female,Single,Student,No Income,Post Graduate,4,560024,Food delivery apps, Direct call,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),3,3,3,2,2,3,3,Disagree,Neutral,Strongly agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Strongly agree,Agree,Neutral,Yes,Weekend (Sat & Sun),45 minutes,Neutral,Neutral,Neutral,2,Important,Important,Very Important,Very Important,Very Important,Very Important,1,Nil,['nil'],0.0,0.0,Neutral
28,Male,Married,Employee,More than 50000,Post Graduate,3,560003,Food delivery apps, Direct call,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),0,3,0,3,3,0,3,Disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Agree,Disagree,Disagree,Disagree,No,Anytime (Mon-Sun),60 minutes,Agree,Strongly Agree,Strongly Agree,1,Important,Important,Important,Very Important,Important,Very Important,1,I'm satisfied with the current service of swiggy and zomato,"['im', 'satisfied', 'current', 'service', 'swiggy', 'zomato']",0.25,0.7,Positive
32,Female,Married,Employee,More than 50000,Graduate,1,560003,Food delivery apps, Web browser,Breakfast, Lunch,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),0,2,0,3,3,3,3,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Strongly Agree,Strongly Agree,2,Very Important,Important,Important,Moderately Important,Very Important,Very Important,0,I require faster delivery with minimum calls,"['require', 'faster', 'delivery', 'minimum', 'calls']",0.0,0.0,Neutral
23,Male,Single,Student,No Income,Post Graduate,2,560003,Food delivery apps, Direct call,Breakfast, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),0,3,0,3,3,3,0,Strongly agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Disagree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Agree,Strongly Agree,2,Important,Very Important,Important,Important,Important,Important,1,NIL,['nil'],0.0,0.0,Neutral
19,Male,Single,Student,No Income,Graduate,2,560003,Food delivery apps, Web browser,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),0,1,0,2,1,1,0,Strongly disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Yes,Anytime (Mon-Sun),15 minutes,Agree,Strongly Agree,Agree,1,Important,Very Important,Important,Very Important,Important,Important,0,I had bad experiences with the food delivered to me ,"['bad', 'experiences', 'food', 'delivered']",-0.6999999999999998,0.6666666666666666,Negative
19,Female,Single,Student,No Income,Graduate,4,560047,Food delivery apps, Walk-in,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Sweets,3,3,3,3,3,2,0,Agree,Agree,Neutral,Agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Yes,Anytime (Mon-Sun),45 minutes,Disagree,Agree,Agree,2,Important,Important,Very Important,Important,Important,Important,1,nil,['nil'],0.0,0.0,Neutral
27,Female,Married,Employee,25001 to 50000,Post Graduate,2,560066,Food delivery apps, Walk-in,Lunch, Snacks,Veg foods (Breakfast / Lunch / Dinner), Ice cream / Cool drinks,0,2,1,2,2,2,2,Strongly agree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Maybe,Anytime (Mon-Sun),30 minutes,Neutral,Disagree,Disagree,2,Important,Very Important,Very Important,Very Important,Very Important,Very Important,0,Nil ,['nil'],0.0,0.0,Neutral
25,Male,Single,Self Employeed,25001 to 50000,Graduate,3,560005,Food delivery apps, Web browser,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),0,3,0,3,0,3,0,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Agree,Disagree,Disagree,Disagree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Neutral,Agree,2,Important,Very Important,Important,Important,Important,Important,1,I love swiggy !!,"['love', 'swiggy']",0.78125,0.6,Positive
33,Male,Married,Employee,More than 50000,Ph.D,5,560005,Food delivery apps, Direct call,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),0,1,1,1,1,4,1,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Neutral,Agree,2,Very Important,Very Important,Very Important,Moderately Important,Important,Very Important,0,I once had damaged package from zomato and they declined to offer me refund.worst behavior !,"['damaged', 'package', 'zomato', 'declined', 'offer', 'refundworst', 'behavior']",0.0,0.0,Neutral
