Age,Gender,Marital Status,Occupation,Monthly Income,Educational Qualifications,Family size,Pin code,Medium (P1),Medium (P2),Meal(P1),Meal(P2),Perference(P1),Perference(P2),Ease and convenient,Time saving,More restaurant choices,Easy Payment option,More Offers and Discount,Good Food quality,Good Tracking system,Health Concern,Late Delivery,Poor Hygiene,Bad past experience,Unavailability,Unaffordable,Long delivery time,Delay of delivery person getting assigned,Delay of delivery person picking up food,Wrong order delivered,Missing item,Order placed by mistake,Influence of time,Order Time,Maximum wait time,Residence in busy location,Google Maps Accuracy,Good Road Condition,Influence of rating,Less Delivery time,High Quality of package,Freshness ,Temperature,Good Taste ,Good Quantity,Output,Reviews,Tokenized_Reviews,Polarity,Subjectivity,Sentiment
22,Female,Single,Student,No Income,Post Graduate,5,560010,Food delivery apps, Direct call,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),0,0,0,0,0,2,0,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Anytime (Mon-Sun),45 minutes,Agree,Agree,Strongly Agree,2,Important,Very Important,Very Important,Very Important,Very Important,Very Important,1,Nil,['nil'],0.0,0.0,Neutral
23,Male,Single,Student,Below Rs.10000,Post Graduate,2,560009,Food delivery apps, Walk-in,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),3,3,3,3,0,0,3,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Maybe,Weekend (Sat & Sun),45 minutes,Strongly Agree,Disagree,Agree,2,Important,Very Important,Very Important,Important,Very Important,Very Important,1,Language barrier is also one major issue. Moslty these delivery boys are only familiar with Kanada which creates a problem while addressing any issue.,"['language', 'barrier', 'also', 'one', 'major', 'issue', 'moslty', 'delivery', 'boys', 'familiar', 'kanada', 'creates', 'problem', 'addressing', 'issue']",0.14583333333333334,0.6666666666666666,Positive
23,Male,Single,Student,No Income,Post Graduate,5,560078,Walk-in, Direct call,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Bakery items (snacks),0,2,0,0,0,1,0,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Agree,Neutral,Neutral,Disagree,Strongly disagree,Strongly disagree,Yes,Weekend (Sat & Sun),30 minutes,Agree,Agree,Neutral,0,Slightly Important,Unimportant,Moderately Important,Moderately Important,Moderately Important,Slightly Important,1,Nil,['nil'],0.0,0.0,Neutral
21,Male,Single,Student,No Income,Graduate,4,560009,Walk-in, Direct call,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),0,3,3,3,3,3,3,Strongly agree,Neutral,Neutral,Neutral,Disagree,Disagree,Agree,Agree,Agree,Strongly disagree,Disagree,Strongly disagree,No,Weekend (Sat & Sun),30 minutes,Agree,Neutral,Disagree,2,Important,Important,Very Important,Very Important,Very Important,Very Important,1,Nil,['nil'],0.0,0.0,Neutral
23,Female,Single,Self Employeed,10001 to 25000,Post Graduate,5,560004,Food delivery apps, Walk-in,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Sweets,0,0,3,0,2,2,2,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Disagree,Yes,Anytime (Mon-Sun),45 minutes,Neutral,Strongly Agree,Strongly Agree,2,Moderately Important,Important,Very Important,Important,Very Important,Very Important,1,NIL,['nil'],0.0,0.0,Neutral
24,Female,Single,Student,No Income,Post Graduate,6,560068,Food delivery apps, Walk-in,Lunch, Snacks,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),3,0,3,3,2,0,3,Strongly agree,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Maybe,Anytime (Mon-Sun),30 minutes,Strongly Agree,Strongly Agree,Neutral,2,Moderately Important,Moderately Important,Very Important,Very Important,Very Important,Very Important,1,NIL,['nil'],0.0,0.0,Neutral
28,Female,Single,Employee,25001 to 50000,Post Graduate,2,560038,Walk-in, Direct call,Dinner, Dinner,Veg foods (Breakfast / Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),2,2,2,0,2,2,0,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,No,Anytime (Mon-Sun),60 minutes,Neutral,Neutral,Agree,1,Unimportant,Unimportant,Very Important,Moderately Important,Important,Important,1,NIL,['nil'],0.0,0.0,Neutral
23,Female,Single,Student,No Income,Graduate,3,560008,Food delivery apps, Walk-in,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),0,0,0,1,1,1,0,Neutral,Neutral,Strongly agree,Neutral,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Yes,Anytime (Mon-Sun),45 minutes,Disagree,Agree,Neutral,2,Important,Very Important,Very Important,Very Important,Very Important,Important,1,"Spillage, bad packaging and missing items ","['spillage', 'bad', 'packaging', 'missing', 'items']",-0.44999999999999996,0.35833333333333334,Negative
25,Male,Single,Student,No Income,Graduate,4,560078,Food delivery apps, Walk-in,Lunch, Snacks,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),3,3,3,3,3,3,3,Agree,Strongly disagree,Strongly agree,Neutral,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Neutral,Neutral,Neutral,Yes,Anytime (Mon-Sun),45 minutes,Strongly Agree,Strongly Agree,Agree,2,Slightly Important,Very Important,Very Important,Very Important,Very Important,Very Important,1,Once my order from kfc got exchanged with someone else. Fault was delivery boy's. ,"['order', 'kfc', 'got', 'exchanged', 'someone', 'else', 'fault', 'delivery', 'boys']",0.0,0.0,Neutral
21,Female,Single,Student,Below Rs.10000,Post Graduate,1,560038,Food delivery apps, Direct call,Dinner, Dinner,Veg foods (Breakfast / Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),0,0,4,0,4,2,0,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,Agree,Strongly disagree,Agree,Maybe,Anytime (Mon-Sun),45 minutes,Neutral,Disagree,Neutral,2,Slightly Important,Very Important,Very Important,Very Important,Very Important,Very Important,1,Nil,['nil'],0.0,0.0,Neutral
24,Male,Single,Student,No Income,Post Graduate,3,560009,Food delivery apps, Direct call,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),0,0,0,0,0,0,0,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Yes,Weekend (Sat & Sun),More than 60 minutes,Strongly disagree,Strongly disagree,Disagree,2,Important,Very Important,Very Important,Important,Very Important,Important,1,NIL,['nil'],0.0,0.0,Neutral
22,Male,Single,Student,No Income,Post Graduate,4,560032,Food delivery apps, Direct call,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),3,3,0,3,0,0,0,Neutral,Disagree,Agree,Strongly agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Strongly agree,Agree,Yes,Anytime (Mon-Sun),45 minutes,Agree,Agree,Strongly Agree,2,Very Important,Very Important,Very Important,Moderately Important,Very Important,Very Important,1,Nil,['nil'],0.0,0.0,Neutral
22,Female,Single,Student,No Income,Graduate,4,560033,Food delivery apps, Direct call,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),0,0,0,0,0,0,0,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Yes,Weekdays (Mon-Fri),45 minutes,Strongly Agree,Strongly Agree,Strongly Agree,2,Very Important,Important,Very Important,Important,Important,Important,1,I feel Swiggy has a good interface for users and the delivery time to my place in Bangalore taken by Swiggy is less than Zomato when ordered from same restaurant ,"['feel', 'swiggy', 'good', 'interface', 'users', 'delivery', 'time', 'place', 'bangalore', 'taken', 'swiggy', 'less', 'zomato', 'ordered', 'restaurant']",0.17777777777777778,0.2638888888888889,Positive
23,Male,Single,Student,No Income,Graduate,4,560021,Food delivery apps, Walk-in,Lunch, Dinner,Veg foods (Breakfast / Lunch / Dinner), Ice cream / Cool drinks,0,0,0,0,1,0,0,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Yes,Weekdays (Mon-Fri),30 minutes,Neutral,Neutral,Neutral,2,Important,Important,Important,Important,Important,Important,1,NIL,['nil'],0.0,0.0,Neutral
21,Male,Single,Student,Below Rs.10000,Post Graduate,3,560085,Walk-in, Direct call,Breakfast, Snacks,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),3,1,0,3,3,0,0,Strongly agree,Agree,Strongly agree,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Agree,Agree,No,Anytime (Mon-Sun),45 minutes,Agree,Strongly Agree,Strongly Agree,0,Moderately Important,Important,Moderately Important,Important,Important,Important,1,NIL,['nil'],0.0,0.0,Neutral
25,Male,Single,Student,No Income,Post Graduate,3,560008,Walk-in, Direct call,Dinner, Dinner,Veg foods (Breakfast / Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),0,0,0,0,1,2,2,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Yes,Anytime (Mon-Sun),30 minutes,Neutral,Neutral,Neutral,2,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,1,Nil,['nil'],0.0,0.0,Neutral
22,Female,Single,Student,No Income,Post Graduate,5,560050,Food delivery apps, Direct call,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),0,0,0,0,0,0,0,Agree,Disagree,Agree,Neutral,Agree,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Agree,Yes,Anytime (Mon-Sun),45 minutes,Neutral,Agree,Agree,2,Moderately Important,Important,Important,Important,Important,Important,1,NIL,['nil'],0.0,0.0,Neutral
22,Male,Single,Student,No Income,Post Graduate,3,560098,Food delivery apps, Walk-in,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Sweets,0,0,0,0,1,2,0,Strongly agree,Neutral,Agree,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Agree,No,Anytime (Mon-Sun),45 minutes,Disagree,Strongly Agree,Disagree,2,Slightly Important,Important,Important,Important,Very Important,Very Important,1,Nil,['nil'],0.0,0.0,Neutral
23,Female,Single,Employee,10001 to 25000,Graduate,3,560048,Walk-in, Direct call,Snacks, Dinner,Bakery items (snacks), Veg foods (Breakfast / Lunch / Dinner),2,0,0,2,2,2,2,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Maybe,Weekend (Sat & Sun),30 minutes,Neutral,Neutral,Neutral,0,Important,Important,Important,Important,Important,Important,1,NIL,['nil'],0.0,0.0,Neutral
22,Male,Single,Student,Below Rs.10000,Post Graduate,4,560003,Walk-in, Direct call,Snacks, Dinner,Veg foods (Breakfast / Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),4,4,4,4,1,2,2,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Yes,Weekend (Sat & Sun),15 minutes,Agree,Neutral,Agree,1,Important,Very Important,Important,Very Important,Very Important,Very Important,1,No,[],0.0,0.0,Neutral
22,Female,Single,Employee,10001 to 25000,Graduate,5,560066,Food delivery apps, Direct call,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),0,0,0,0,0,2,0,Neutral,Disagree,Agree,Neutral,Strongly agree,Disagree,Agree,Neutral,Neutral,Agree,Strongly agree,Strongly disagree,Yes,Weekend (Sat & Sun),45 minutes,Strongly Agree,Agree,Agree,2,Important,Important,Very Important,Important,Very Important,Very Important,1,NIL,['nil'],0.0,0.0,Neutral
